date,FRM30
1975/1/3,9.60
1975/1/10,9.49
1975/1/17,9.43
1975/1/24,9.35
1975/1/31,9.29
1975/2/7,9.20
1975/2/14,9.13
1975/2/21,9.07
1975/2/28,9.02
1975/3/7,9.00
1975/3/14,8.89
1975/3/21,8.86
1975/3/28,8.86
1975/4/4,8.83
1975/4/11,8.81
1975/4/18,8.80
1975/4/25,8.84
1975/5/2,8.92
1975/5/9,8.88
1975/5/16,8.92
1975/5/23,8.92
1975/5/30,8.89
1975/6/6,8.89
1975/6/13,8.90
1975/6/20,8.88
1975/6/27,8.90
1975/7/3,8.88
1975/7/11,8.90
1975/7/18,8.89
1975/7/25,8.89
1975/8/1,8.89
1975/8/8,8.89
1975/8/15,8.93
1975/8/22,8.98
1975/8/29,9.02
1975/9/5,9.08
1975/9/12,9.16
1975/9/19,9.14
1975/9/26,9.14
1975/10/3,9.20
1975/10/10,9.21
1975/10/17,9.21
1975/10/24,9.26
1975/10/31,9.24
1975/11/7,9.19
1975/11/14,9.16
1975/11/21,9.12
1975/11/28,9.11
1975/12/5,9.11
1975/12/12,9.11
1975/12/19,9.08
1975/12/26,9.09
1976/1/2,9.10
1976/1/9,9.07
1976/1/16,9.01
1976/1/23,9.00
1976/1/30,8.90
1976/2/6,8.86
1976/2/13,8.83
1976/2/20,8.81
1976/2/27,8.75
1976/3/5,8.77
1976/3/12,8.75
1976/3/19,8.75
1976/3/26,8.75
1976/4/2,8.70
1976/4/9,8.70
1976/4/16,8.75
1976/4/23,8.75
1976/4/30,8.75
1976/5/7,8.75
1976/5/14,8.75
1976/5/21,8.78
1976/5/28,8.78
1976/6/4,8.78
1976/6/11,8.83
1976/6/18,8.88
1976/6/25,8.90
1976/7/2,8.93
1976/7/9,8.93
1976/7/16,8.93
1976/7/23,8.90
1976/7/30,8.98
1976/8/6,9.00
1976/8/13,9.00
1976/8/20,9.00
1976/8/27,9.00
1976/9/3,9.00
1976/9/10,8.97
1976/9/17,8.97
1976/9/24,8.97
1976/10/1,8.90
1976/10/8,8.95
1976/10/15,8.95
1976/10/22,8.95
1976/10/29,8.90
1976/11/5,8.85
1976/11/12,8.80
1976/11/19,8.80
1976/11/26,8.80
1976/12/3,8.80
1976/12/10,8.80
1976/12/17,8.80
1976/12/24,8.78
1976/12/31,8.78
1977/1/7,8.70
1977/1/14,8.73
1977/1/21,8.73
1977/1/28,8.73
1977/2/4,8.68
