MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity
"Abilene, TX","Abilene, TX",40862.0,170.516,6967607.0,102.84,10180,6565925.0,38506.21056088578,1.37,1.49,0.10083067,3.0948513
"Akron, OH","Akron, OH",47343.0,704.367,33346841.0,428.89,10420,32374943.0,45963.174027176174,1.205,1.315,0.067560114,2.5854928
"Albany, GA","Albany, GA",36522.0,148.113,5409425.0,81.997,10500,5224058.0,35270.759487688454,1.1175,1.2325,-0.49810675,3.3922868
"Albany, OR","Albany, OR",40865.0,124.977,5107152.0,61.617,10540,4210211.0,33687.886571129085,1.63,1.81,,
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",56264.0,882.13,49632513.0,570.825,10580,52128025.0,59093.35925543854,1.085,1.205,-0.09178428,1.700388
"Albuquerque, NM","Albuquerque, NM",40715.0,912.897,37168752.0,503.702,10740,37669706.0,41263.91695886831,1.63,1.81,0.373471,2.11238
"Alexandria, LA","Alexandria, LA",42200.0,153.604,6482090.0,81.146,10780,5598158.0,36445.39204708211,1.315,1.4300000000000002,-1.6766891,7.1480856
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",51236.0,838.081,42940245.0,473.665,10900,39570402.0,47215.48633127347,1.49,1.63,0.022797078,1.8622904
"Altoona, PA","Altoona, PA",44160.0,123.175,5439427.0,75.601,11020,5260675.0,42708.95067992694,1.02,1.15,0.37206283,2.1776206
"Amarillo, TX","Amarillo, TX",44111.0,264.955,11687486.0,164.761,11100,12185359.0,45990.296465437525,1.1175,1.2325,-0.3986942,3.4720654
"Ames, IA","Ames, IA",41321.0,123.736,5112937.0,77.718,11180,5633048.0,45524.73007047262,0.6375,1.0525,,
"Anchorage, AK","Anchorage, AK",58093.0,400.647,23274975.0,242.789,11260,22194342.0,55396.25156309669,1.81,2.1,,
"Ann Arbor, MI","Ann Arbor, MI",56729.0,369.208,20944911.0,266.796,11460,21313699.0,57728.161361617305,0.8925000000000001,1.1175,0.30975512,2.2907684
