MSA,MSA_old,PINCPC,POP,PINC,EMP,cbsa,RGDP,RGDPPC,D2I_Low,D2I_H,WRLURI,elasticity,FE_Y_G2,FE_Y_G3,FE_Y_G4,FE_NoY_G2,FE_NoY_G3,FE_NoY_G4,PINCPC_Top10,FE_Y_PoorG3_1,FE_NoY_PoorG3_1
"Abilene, TX","Abilene, TX",40862,170.516,6967607,102.84,10180,6565925,38506.21056,1.37,1.49,0.10083067,3.0948513,2,3,4,2,2,4,0,0,0
"Akron, OH","Akron, OH",47343,704.367,33346841,428.89,10420,32374943,45963.17403,1.205,1.315,0.067560114,2.5854928,2,3,3,2,3,3,0,0,0
"Albany, GA","Albany, GA",36522,148.113,5409425,81.997,10500,5224058,35270.75949,1.1175,1.2325,-0.49810675,3.3922868,2,3,4,2,3,4,0,0,0
"Albany, OR","Albany, OR",40865,124.977,5107152,61.617,10540,4210211,33687.88657,1.63,1.81,,,1,2,2,1,1,1,0,0,0
"Albany-Schenectady-Troy, NY","Albany-Schenectady-Troy, NY",56264,882.13,49632513,570.825,10580,52128025,59093.35926,1.085,1.205,-0.09178428,1.700388,1,1,1,1,1,1,1,0,0
"Albuquerque, NM","Albuquerque, NM",40715,912.897,37168752,503.702,10740,37669706,41263.91696,1.63,1.81,0.373471,2.11238,1,2,1,2,1,2,0,0,0
"Alexandria, LA","Alexandria, LA",42200,153.604,6482090,81.146,10780,5598158,36445.39205,1.315,1.43,-1.6766891,7.1480856,1,2,2,2,2,4,0,0,0
"Allentown-Bethlehem-Easton, PA-NJ","Allentown-Bethlehem-Easton, PA-NJ",51236,838.081,42940245,473.665,10900,39570402,47215.48633,1.49,1.63,0.022797078,1.8622904,1,2,1,1,1,1,0,0,0
"Altoona, PA","Altoona, PA",44160,123.175,5439427,75.601,11020,5260675,42708.95068,1.02,1.15,0.37206283,2.1776206,1,2,2,2,1,1,0,0,0
"Amarillo, TX","Amarillo, TX",44111,264.955,11687486,164.761,11100,12185359,45990.29647,1.1175,1.2325,-0.3986942,3.4720654,2,3,3,2,3,3,0,0,0
"Ames, IA","Ames, IA",41321,123.736,5112937,77.718,11180,5633048,45524.73007,0.6375,1.0525,,,2,2,2,2,2,2,0,0,0
"Anchorage, AK","Anchorage, AK",58093,400.647,23274975,242.789,11260,22194342,55396.25156,1.81,2.1,,,2,3,2,2,1,1,1,0,0
"Ann Arbor, MI","Ann Arbor, MI",56729,369.208,20944911,266.796,11460,21313699,57728.16136,0.8925,1.1175,0.30975512,2.2907684,2,3,4,2,2,4,1,0,0
"Anniston-Oxford, AL","Anniston-Oxford-Jacksonville, AL",35721,114.664,4095935,58.628,11500,3861148,33673.58543,1.26,1.37,,,1,2,2,1,1,1,0,0,1
"Appleton, WI","Appleton, WI",49292,236.058,11635733,155.134,11540,11548960,48924.24743,0.99,1.2,-0.15223685,2.2756798,1,2,2,2,2,2,0,0,0
"Asheville, NC","Asheville, NC",43265,455.255,19696720,273.581,11700,17323369,38052.01261,1.81,2.1,-0.61086994,1.5458176,1,2,2,1,1,1,0,0,0
"Athens-Clarke County, GA","Athens-Clarke County, GA",38884,208.997,8126567,126.066,12020,8730445,41773.06373,1.205,1.315,,,2,3,3,2,3,3,0,0,0
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta-Sandy Springs-Roswell, GA",50269,5874.249,295294501,3774.198,12060,348681584,59357.64453,1.4025,1.53,0.034925,2.5536988,2,3,3,2,3,3,0,0,0
"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ",46549,266.328,12397367,164.114,12100,12424734,46652.00054,1.26,1.3725,0.68825674,1.1185694,2,2,2,2,1,1,0,0,0
"Auburn-Opelika, AL","Auburn-Opelika, AL",36437,161.641,5889666,83.721,12220,5897678,36486.27514,1.81,2.1,-1.1937114,5.2154036,2,3,3,2,3,3,0,0,0
"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC",40502,600.006,24301614,318.487,12260,24254227,40423.30743,1.46,1.595,-1.091925,3.568282,2,3,3,1,1,1,0,0,0
"Austin-Round Rock-Georgetown, TX","Austin-Round Rock, TX",55530,2115.23,117458116,1449.768,12420,127337977,60200.53469,1.315,1.43,-0.2833971,3.002909,2,2,2,1,1,1,0,0,0
"Bakersfield, CA","Bakersfield, CA",38467,888.988,34196499,412.04,12540,50226164,56498.13496,1.63,1.81,0.3953429,1.6380138,1,1,1,1,1,1,0,0,0
"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD",59570,2798.587,166712892,1837.907,12580,178407243,63749.043,1.595,1.765,1.6010959,1.2349458,2,3,4,2,3,3,1,0,0
"Bangor, ME","Bangor, ME",39976,151.19,6044013,90.783,12620,5856821,38738.15067,1.2875,1.4,0.5923235,2.324309,2,3,3,2,2,4,0,0,0
