CBSA Code,CBSA Title,County/County Equivalent,State Name,FIPS State Code,FIPS County Code
10100,"Aberdeen, SD",Brown County,South Dakota,46,13
10100,"Aberdeen, SD",Edmunds County,South Dakota,46,45
10140,"Aberdeen, WA",Grays Harbor County,Washington,53,27
10180,"Abilene, TX",Callahan County,Texas,48,59
10180,"Abilene, TX",Jones County,Texas,48,253
10180,"Abilene, TX",Taylor County,Texas,48,441
10220,"Ada, OK",Pontotoc County,Oklahoma,40,123
10300,"Adrian, MI",Lenawee County,Michigan,26,91
10380,"Aguadilla-Isabela, PR",Aguada Municipio,Puerto Rico,72,3
10380,"Aguadilla-Isabela, PR",Aguadilla Municipio,Puerto Rico,72,5
10380,"Aguadilla-Isabela, PR",Añasco Municipio,Puerto Rico,72,11
10380,"Aguadilla-Isabela, PR",Isabela Municipio,Puerto Rico,72,71
10380,"Aguadilla-Isabela, PR",Lares Municipio,Puerto Rico,72,81
10380,"Aguadilla-Isabela, PR",Moca Municipio,Puerto Rico,72,99
10380,"Aguadilla-Isabela, PR",Rincón Municipio,Puerto Rico,72,117
10380,"Aguadilla-Isabela, PR",San Sebastián Municipio,Puerto Rico,72,131
10380,"Aguadilla-Isabela, PR",Utuado Municipio,Puerto Rico,72,141
10420,"Akron, OH",Portage County,Ohio,39,133
10420,"Akron, OH",Summit County,Ohio,39,153
10460,"Alamogordo, NM",Otero County,New Mexico,35,35
10500,"Albany, GA",Dougherty County,Georgia,13,95
10500,"Albany, GA",Lee County,Georgia,13,177
10500,"Albany, GA",Terrell County,Georgia,13,273
10500,"Albany, GA",Worth County,Georgia,13,321
10540,"Albany-Lebanon, OR",Linn County,Oregon,41,43
10580,"Albany-Schenectady-Troy, NY",Albany County,New York,36,1
10580,"Albany-Schenectady-Troy, NY",Rensselaer County,New York,36,83
10580,"Albany-Schenectady-Troy, NY",Saratoga County,New York,36,91
10580,"Albany-Schenectady-Troy, NY",Schenectady County,New York,36,93
10580,"Albany-Schenectady-Troy, NY",Schoharie County,New York,36,95
10620,"Albemarle, NC",Stanly County,North Carolina,37,167
10660,"Albert Lea, MN",Freeborn County,Minnesota,27,47
10700,"Albertville, AL",Marshall County,Alabama,1,95
10740,"Albuquerque, NM",Bernalillo County,New Mexico,35,1
10740,"Albuquerque, NM",Sandoval County,New Mexico,35,43
10740,"Albuquerque, NM",Torrance County,New Mexico,35,57
10740,"Albuquerque, NM",Valencia County,New Mexico,35,61
10760,"Alexander City, AL",Coosa County,Alabama,1,37
10760,"Alexander City, AL",Tallapoosa County,Alabama,1,123
10780,"Alexandria, LA",Grant Parish,Louisiana,22,43
10780,"Alexandria, LA",Rapides Parish,Louisiana,22,79
10820,"Alexandria, MN",Douglas County,Minnesota,27,41
