"CAINC30 Economic Profile"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","2017"
"00998","United States (Metropolitan Portion)","","Place of residence profile",""
"00998","United States (Metropolitan Portion)","10","Personal income (thousands of dollars)",15067656200
"00998","United States (Metropolitan Portion)","100","  Population (persons) 3/",279734451
"00998","United States (Metropolitan Portion)","","Per capita incomes (dollars)",""
"00998","United States (Metropolitan Portion)","110","  Per capita personal income 4/",53864
"00998","United States (Metropolitan Portion)","240","Total employment (number of jobs)",173308042
"10180","Abilene, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"10180","Abilene, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6967607
"10180","Abilene, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",170516
"10180","Abilene, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"10180","Abilene, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40862
"10180","Abilene, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",102840
"10420","Akron, OH (Metropolitan Statistical Area)","","Place of residence profile",""
"10420","Akron, OH (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",33346841
"10420","Akron, OH (Metropolitan Statistical Area)","100","  Population (persons) 3/",704367
"10420","Akron, OH (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"10420","Akron, OH (Metropolitan Statistical Area)","110","  Per capita personal income 4/",47343
"10420","Akron, OH (Metropolitan Statistical Area)","240","Total employment (number of jobs)",428890
"10500","Albany, GA (Metropolitan Statistical Area)","","Place of residence profile",""
"10500","Albany, GA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5409425
"10500","Albany, GA (Metropolitan Statistical Area)","100","  Population (persons) 3/",148113
"10500","Albany, GA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"10500","Albany, GA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",36522
"10500","Albany, GA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",81997
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","","Place of residence profile",""
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5107152
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","100","  Population (persons) 3/",124977
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","110","  Per capita personal income 4/",40865
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)","240","Total employment (number of jobs)",61617
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","Place of residence profile",""
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",49632513
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","100","  Population (persons) 3/",882130
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","110","  Per capita personal income 4/",56264
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)","240","Total employment (number of jobs)",570825
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","","Place of residence profile",""
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","10","Personal income (thousands of dollars)",37168752
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","100","  Population (persons) 3/",912897
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","","Per capita incomes (dollars)",""
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","110","  Per capita personal income 4/",40715
"10740","Albuquerque, NM (Metropolitan Statistical Area) *","240","Total employment (number of jobs)",503702
"10780","Alexandria, LA (Metropolitan Statistical Area)","","Place of residence profile",""
"10780","Alexandria, LA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",6482090
"10780","Alexandria, LA (Metropolitan Statistical Area)","100","  Population (persons) 3/",153604
"10780","Alexandria, LA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"10780","Alexandria, LA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",42200
"10780","Alexandria, LA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",81146
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","","Place of residence profile",""
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",42940245
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","100","  Population (persons) 3/",838081
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","110","  Per capita personal income 4/",51236
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)","240","Total employment (number of jobs)",473665
"11020","Altoona, PA (Metropolitan Statistical Area)","","Place of residence profile",""
"11020","Altoona, PA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5439427
"11020","Altoona, PA (Metropolitan Statistical Area)","100","  Population (persons) 3/",123175
"11020","Altoona, PA (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11020","Altoona, PA (Metropolitan Statistical Area)","110","  Per capita personal income 4/",44160
"11020","Altoona, PA (Metropolitan Statistical Area)","240","Total employment (number of jobs)",75601
"11100","Amarillo, TX (Metropolitan Statistical Area)","","Place of residence profile",""
"11100","Amarillo, TX (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",11687486
"11100","Amarillo, TX (Metropolitan Statistical Area)","100","  Population (persons) 3/",264955
"11100","Amarillo, TX (Metropolitan Statistical Area)","","Per capita incomes (dollars)",""
"11100","Amarillo, TX (Metropolitan Statistical Area)","110","  Per capita personal income 4/",44111
"11100","Amarillo, TX (Metropolitan Statistical Area)","240","Total employment (number of jobs)",164761
"11180","Ames, IA (Metropolitan Statistical Area)","","Place of residence profile",""
"11180","Ames, IA (Metropolitan Statistical Area)","10","Personal income (thousands of dollars)",5112937
"11180","Ames, IA (Metropolitan Statistical Area)","100","  Population (persons) 3/",123736
