"CAGDP9 Real GDP by county and metropolitan area 1/"
"Real GDP: All industry total (Thousands of chained 2012 dollars)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2017"
"00998","United States (Metropolitan Portion)",16030109264
"10180","Abilene, TX (Metropolitan Statistical Area)",6565925
"10420","Akron, OH (Metropolitan Statistical Area)",32374943
"10500","Albany, GA (Metropolitan Statistical Area)",5224058
"10540","Albany-Lebanon, OR (Metropolitan Statistical Area)",4210211
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",52128025
"10740","Albuquerque, NM (Metropolitan Statistical Area)",37669706
"10780","Alexandria, LA (Metropolitan Statistical Area)",5598158
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",39570402
"11020","Altoona, PA (Metropolitan Statistical Area)",5260675
"11100","Amarillo, TX (Metropolitan Statistical Area)",12185359
"11180","Ames, IA (Metropolitan Statistical Area)",5633048
"11260","Anchorage, AK (Metropolitan Statistical Area)",22194342
"11460","Ann Arbor, MI (Metropolitan Statistical Area)",21313699
"11500","Anniston-Oxford, AL (Metropolitan Statistical Area)",3861148
"11540","Appleton, WI (Metropolitan Statistical Area)",11548960
"11700","Asheville, NC (Metropolitan Statistical Area)",17323369
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)",8730445
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",348681584
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",12424734
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)",5897678
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",24254227
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)",127337977
"12540","Bakersfield, CA (Metropolitan Statistical Area)",50226164
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",178407243
"12620","Bangor, ME (Metropolitan Statistical Area)",5856821
"12700","Barnstable Town, MA (Metropolitan Statistical Area)",12192071
"12940","Baton Rouge, LA (Metropolitan Statistical Area)",49456680
"12980","Battle Creek, MI (Metropolitan Statistical Area)",5609810
"13020","Bay City, MI (Metropolitan Statistical Area)",3468934
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",28069251
"13220","Beckley, WV (Metropolitan Statistical Area)",3746074
"13380","Bellingham, WA (Metropolitan Statistical Area)",13306016
"13460","Bend, OR (Metropolitan Statistical Area)",7892078
"13740","Billings, MT (Metropolitan Statistical Area)",9565917
"13780","Binghamton, NY (Metropolitan Statistical Area)",10724610
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)",54192007
"13900","Bismarck, ND (Metropolitan Statistical Area)",6882276
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",6766394
"14010","Bloomington, IL (Metropolitan Statistical Area)",11826318
"14020","Bloomington, IN (Metropolitan Statistical Area)",6420432
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",3962275
"14260","Boise City, ID (Metropolitan Statistical Area)",29709413
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",399360729
"14500","Boulder, CO (Metropolitan Statistical Area) *",24607654
"14540","Bowling Green, KY (Metropolitan Statistical Area)",6254353
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",11035875
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",77609152
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",9737643
"15260","Brunswick, GA (Metropolitan Statistical Area)",3824135
"15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",59746005
"15500","Burlington, NC (Metropolitan Statistical Area)",5200654
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",12125000
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",6402262
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",18134746
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",26207287
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",3913734
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)",5589686
"16180","Carson City, NV (Metropolitan Statistical Area)",3156084
"16220","Casper, WY (Metropolitan Statistical Area)",5010582
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)",16790507
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",5412963
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)",10435942
"16620","Charleston, WV (Metropolitan Statistical Area)",11538213
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)",36394735
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",143835956
"16820","Charlottesville, VA (Metropolitan Statistical Area) *",11937304
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)",26693082
"16940","Cheyenne, WY (Metropolitan Statistical Area)",5193647
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",600421994
"17020","Chico, CA (Metropolitan Statistical Area)",9002731
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",122867631
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)",11147716
"17420","Cleveland, TN (Metropolitan Statistical Area)",4671982
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)",117136194
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)",5301432
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)",12775982
"17820","Colorado Springs, CO (Metropolitan Statistical Area)",33146193
"17860","Columbia, MO (Metropolitan Statistical Area)",8675553
"17900","Columbia, SC (Metropolitan Statistical Area)",38014141
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",13232794
"18020","Columbus, IN (Metropolitan Statistical Area)",6063299
"18140","Columbus, OH (Metropolitan Statistical Area)",112512486
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",21165711
"18700","Corvallis, OR (Metropolitan Statistical Area)",4484532
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",12622410
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",3562958
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",451414779
"19140","Dalton, GA (Metropolitan Statistical Area)",6823387
"19180","Danville, IL (Metropolitan Statistical Area)",3196706
"19300","Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",5525882
"19340","Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",20339874
"19430","Dayton-Kettering, OH (Metropolitan Statistical Area)",37959200
"19460","Decatur, AL (Metropolitan Statistical Area)",5342321
"19500","Decatur, IL (Metropolitan Statistical Area)",6238665
"19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",18091856
"19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area) *",187126660
"19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",43692327
"19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",233241705
"20020","Dothan, AL (Metropolitan Statistical Area)",5055797
"20100","Dover, DE (Metropolitan Statistical Area)",6621713
"20220","Dubuque, IA (Metropolitan Statistical Area)",5120001
"20260","Duluth, MN-WI (Metropolitan Statistical Area)",13587347
"20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",46804056
"20700","East Stroudsburg, PA (Metropolitan Statistical Area)",5529321
"20740","Eau Claire, WI (Metropolitan Statistical Area)",8260745
"20940","El Centro, CA (Metropolitan Statistical Area)",8189014
"21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",5349500
"21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",11979393
"21300","Elmira, NY (Metropolitan Statistical Area)",3573676
"21340","El Paso, TX (Metropolitan Statistical Area)",28207727
"21420","Enid, OK (Metropolitan Statistical Area)",3345503
"21500","Erie, PA (Metropolitan Statistical Area)",10860163
"21660","Eugene-Springfield, OR (Metropolitan Statistical Area)",14683029
"21780","Evansville, IN-KY (Metropolitan Statistical Area)",15856790
"21820","Fairbanks, AK (Metropolitan Statistical Area) *",5582087
"22020","Fargo, ND-MN (Metropolitan Statistical Area)",12667707
"22140","Farmington, NM (Metropolitan Statistical Area)",6189598
"22180","Fayetteville, NC (Metropolitan Statistical Area)",19004060
"22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",22927117
"22380","Flagstaff, AZ (Metropolitan Statistical Area)",6753461
"22420","Flint, MI (Metropolitan Statistical Area)",13162959
"22500","Florence, SC (Metropolitan Statistical Area)",8824777
"22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",5103322
"22540","Fond du Lac, WI (Metropolitan Statistical Area)",4721376
"22660","Fort Collins, CO (Metropolitan Statistical Area)",16121584
"22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",8634927
"23060","Fort Wayne, IN (Metropolitan Statistical Area)",20292855
"23420","Fresno, CA (Metropolitan Statistical Area)",41597807
"23460","Gadsden, AL (Metropolitan Statistical Area)",2746645
