Year,Quarter,Metropolitan Statistical Areas,Debt-to-Income Ratio Low,Debt-to-Income Ratio High
2017,4,"Abilene, TX (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Akron, OH (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Albany, GA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Albany, OR (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Albuquerque, NM (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Alexandria, LA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Altoona, PA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Amarillo, TX (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Ames, IA (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Anchorage, AK (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Ann Arbor, MI (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Appleton, WI (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Asheville, NC (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Athens-Clarke County, GA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Auburn-Opelika, AL (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Austin-Round Rock, TX (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Bakersfield, CA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Bangor, ME (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Barnstable Town, MA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Baton Rouge, LA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Battle Creek, MI (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Bay City, MI (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Beckley, WV (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Bellingham, WA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Bend-Redmond, OR (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Billings, MT (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Binghamton, NY (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Bismarck, ND (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Bloomington, IL (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Bloomington, IN (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Boise City, ID (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Boulder, CO (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Bowling Green, KY (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Bremerton-Silverdale, WA (Metropolitan Statistical Area)",2.57,
2017,4,"Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Brownsville-Harlingen, TX (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Brunswick, GA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Burlington, NC (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Burlington-South Burlington, VT (Metropolitan Statistical Area)",1.26,1.37
2017,4,"California-Lexington Park, MD (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Canton-Massillon, OH (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Cape Girardeau, MO-IL (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Carbondale-Marion, IL (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Carson City, NV (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Casper, WY (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Cedar Rapids, IA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Champaign-Urbana, IL (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Charleston, WV (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Charleston-North Charleston, SC (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Charlottesville, VA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Chattanooga, TN-GA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Cheyenne, WY (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Chico, CA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Clarksville, TN-KY (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Cleveland, TN (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Coeur d'Alene, ID (Metropolitan Statistical Area)",2.57,
2017,4,"College Station-Bryan, TX (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Colorado Springs, CO (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Columbia, MO (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Columbia, SC (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Columbus, GA-AL (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Columbus, IN (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Columbus, OH (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Corpus Christi, TX (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Corvallis, OR (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Cumberland, MD-WV (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Dalton, GA (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Danville, IL (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",2.57,
2017,4,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Dayton, OH (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Decatur, AL (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Decatur, IL (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Dothan, AL (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Dover, DE (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Dubuque, IA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Duluth, MN-WI (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",1.02,1.15
2017,4,"East Stroudsburg, PA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Eau Claire, WI (Metropolitan Statistical Area)",1.15,1.26
2017,4,"El Centro, CA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Elmira, NY (Metropolitan Statistical Area)",1.02,1.15
2017,4,"El Paso, TX (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Erie, PA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Eugene, OR (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Evansville, IN-KY (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Fairbanks, AK (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Fargo, ND-MN (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Farmington, NM (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Fayetteville, NC (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Flagstaff, AZ (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Flint, MI (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Florence, SC (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Fond du Lac, WI (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Fort Collins, CO (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Fort Smith, AR-OK (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Fort Wayne, IN (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Fresno, CA (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Gadsden, AL (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Gainesville, FL (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Gainesville, GA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Gettysburg, PA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Glens Falls, NY (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Goldsboro, NC (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Grand Forks, ND-MN (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Grand Island, NE (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Grand Junction, CO (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Grants Pass, OR (Metropolitan Statistical Area)",2.57,
2017,4,"Great Falls, MT (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Greeley, CO (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Green Bay, WI (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Greensboro-High Point, NC (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Greenville, NC (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Hammond, LA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Hanford-Corcoran, CA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Harrisonburg, VA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Hattiesburg, MS (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",2.57,
2017,4,"Hinesville, GA (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Homosassa Springs, FL (Metropolitan Statistical Area)",2.57,
2017,4,"Hot Springs, AR (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Houma-Thibodaux, LA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Huntsville, AL (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Idaho Falls, ID (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Iowa City, IA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Ithaca, NY (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Jackson, MI (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Jackson, MS (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Jackson, TN (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Jacksonville, FL (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Jacksonville, NC (Metropolitan Statistical Area)",2.57,
2017,4,"Janesville-Beloit, WI (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Jefferson City, MO (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Johnson City, TN (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Johnstown, PA (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Jonesboro, AR (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Joplin, MO (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",2.1,2.57
2017,4,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Kankakee, IL (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Kansas City, MO-KS (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Kennewick-Richland, WA (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Killeen-Temple, TX (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Kingston, NY (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Knoxville, TN (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Kokomo, IN (Metropolitan Statistical Area)",0.51,1.02
2017,4,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Lafayette, LA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Lake Charles, LA (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",2.57,
2017,4,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Lancaster, PA (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Laredo, TX (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Las Cruces, NM (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Lawrence, KS (Metropolitan Statistical Area)",1.37,1.49
2017,4,"Lawton, OK (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Lebanon, PA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Lewiston, ID-WA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Lewiston-Auburn, ME (Metropolitan Statistical Area)",1.02,1.15
2017,4,"Lexington-Fayette, KY (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Lima, OH (Metropolitan Statistical Area)",0.51,1.02
2017,4,"Lincoln, NE (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",1.26,1.37
2017,4,"Logan, UT-ID (Metropolitan Statistical Area)",1.49,1.63
2017,4,"Longview, TX (Metropolitan Statistical Area)",1.15,1.26
2017,4,"Longview, WA (Metropolitan Statistical Area)",1.81,2.1
2017,4,"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",1.63,1.81
2017,4,"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",1.02,1.15
